order_id,customer_id,customer_name,customer_email,product_id,product_name,category,quantity,unit_price,order_date,status,payment_method,country,city,total_amount,year,month,day,revenue_tier,processed_at
fdf06af9-17b4-4ae7-af7d-9f108ba6b1d2,1a44cf0f-8a87-4ed9-8b69-518006f6cf79,Bonnie Parker,karencastillo@example.net,PROD-4180,Fundamental fault-tolerant throughput,electronics,3,918.73,2025-09-09 23:39:09,completed,credit_card,Denmark,Lewisfort,2756.19,2025,9,9,high,2026-06-04T17:20:21.945927
2794fd92-6e57-4947-b824-480680dcfb36,5be2724e-aeae-4e71-ac1d-d955babfee31,Jessica Moore,richardjohnson@example.org,PROD-4454,Versatile tertiary knowledgebase,sports,3,284.38,2025-11-12 15:51:49,pending,bank_transfer,Rwanda,South Carlos,853.14,2025,11,12,high,2026-06-04T17:20:21.945927
5870626f-73d4-4e47-9953-d586d5a3bf96,f71b5830-db3c-4c31-833a-10283c4d0c95,Bob Rodriguez,normanclark@example.com,PROD-4091,Devolved responsive website,electronics,9,903.21,2025-12-22 13:01:53,completed,credit_card,Tokelau,Port Justin,8128.89,2025,12,22,high,2026-06-04T17:20:21.945927
037686c3-2d0a-4a61-919d-f3f4e6ed0824,03ba3c22-bbd4-4589-b88b-0e09a0f202ae,Diane Walker,brendarichardson@example.com,PROD-8706,Devolved intangible knowledge user,clothing,3,57.97,2025-12-31 09:56:01,cancelled,paypal,Bangladesh,Moodymouth,173.91,2025,12,31,medium,2026-06-04T17:20:21.945927
2b9a009a-20ba-4ee5-9d5f-b206597aad9f,7dda3e97-9938-44a6-89a3-110f837a8ecc,Ross Ramirez,thomasjackson@example.net,PROD-7573,Progressive analyzing matrix,food,7,939.1,2025-10-21 13:21:19,cancelled,paypal,Denmark,East Cheryl,6573.7,2025,10,21,high,2026-06-04T17:20:21.945927
d3976e7c-8470-4d86-ae8a-59f11346a70d,70e2590f-8915-493c-b126-6879ae960737,Maria Barry,igriffin@example.net,PROD-5180,Exclusive fault-tolerant project,electronics,5,633.83,2026-03-21 04:25:59,completed,paypal,Nicaragua,Caseyburgh,3169.15,2026,3,21,high,2026-06-04T17:20:21.945927
d2e01192-4962-415c-bdfe-d6a95a985c05,f96e2516-45cb-469d-8bca-a85197e3d0e4,Tracy Ramirez,annewheeler@example.com,PROD-6338,Phased coherent neural-net,sports,6,440.8,2026-04-10 10:05:05,pending,bank_transfer,Kiribati,North Kellyborough,2644.8,2026,4,10,high,2026-06-04T17:20:21.945927
2a91d236-6c2b-4843-a83c-ddd52fd70072,b0365d8b-3db9-4e11-8d6a-ec8a4487c091,Dr. Adam Johnson,nicole77@example.net,PROD-8486,Streamlined exuding leverage,sports,5,117.85,2025-08-13 06:38:06,completed,credit_card,Slovenia,North Mary,589.25,2025,8,13,high,2026-06-04T17:20:21.945927
56cbe1c4-fe5c-4661-9398-4ce9f5cdb6e3,60433000-501f-4f2a-9fad-30494a183744,Cory Burke,oliviarogers@example.org,PROD-9715,Optional fault-tolerant toolset,sports,6,268.8,2025-06-08 00:20:42,completed,bank_transfer,Costa Rica,East Melissaview,1612.8,2025,6,8,high,2026-06-04T17:20:21.945927
48611874-4690-40dc-8374-70f4957a4a61,e432b1a6-72c0-4f9b-8939-ffd736d3bb99,Arthur Johnson,lewisjessica@example.com,PROD-6105,Self-enabling well-modulated productivity,books,9,414.01,2026-05-26 19:33:26,cancelled,credit_card,Somalia,West Benjamin,3726.09,2026,5,26,high,2026-06-04T17:20:21.945927
